# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       1.053673596371e-05      -1.317095431452e-03      -9.883351877207e-04      -9.883352204275e-04      -9.883771780096e-04      -1.317075103800e-03      -9.883645952832e-04      -9.883920213827e-04       4.741882867067e-01       4.741005362932e-01 
       1.326496466208e-05      -2.086819435628e-03      -1.566404536172e-03      -1.566404618324e-03      -1.566471062660e-03      -2.086768388022e-03      -1.566440549169e-03      -1.566494479979e-03       4.741878460765e-01       4.741001331146e-01 
       1.669960109965e-05      -3.305788793137e-03      -2.482581104804e-03      -2.482581311146e-03      -2.482686482944e-03      -3.305660617478e-03      -2.482611569500e-03      -2.482723325985e-03       4.741871800745e-01       4.740995264622e-01 
       2.102355219117e-05      -5.235312420902e-03      -3.934618725765e-03      -3.934619244012e-03      -3.934785589933e-03      -5.234990660537e-03      -3.934600166808e-03      -3.934843302227e-03       4.741861028473e-01       4.740985432274e-01 
       2.646708409965e-05      -8.287348351384e-03      -6.235932562957e-03      -6.235933864479e-03      -6.236196650214e-03      -8.286540942949e-03      -6.235735265598e-03      -6.236286412040e-03       4.741844058749e-01       4.740969950374e-01 
       3.332008474914e-05      -1.310932143910e-02      -9.883241613436e-03      -9.883244881786e-03      -9.883659223398e-03      -1.310729651586e-02      -9.882507280888e-03      -9.883797206269e-03       4.741816897572e-01       4.740945143710e-01 
       4.194750141383e-05      -2.071361920249e-02      -1.566376923445e-02      -1.566377744045e-02      -1.566442873957e-02      -2.070854553813e-02      -1.566154655535e-02      -1.566463670160e-02       4.741774185516e-01       4.740906153240e-01 
       5.280877549114e-05      -3.267055991608e-02      -2.482511731642e-02      -2.482513791412e-02      -2.482615662519e-02      -3.265786601870e-02      -2.481893597622e-02      -2.482645937963e-02       4.741706573769e-01       4.740844414641e-01 
       6.648230943153e-05      -5.138396039822e-02      -3.934444585154e-02      -3.934449753093e-02      -3.934607812117e-02      -5.135227551366e-02      -3.932797510236e-02      -3.934649092128e-02       4.741599460642e-01       4.740746547217e-01 
       8.369626877812e-05      -8.045394237842e-02      -6.235495461554e-02      -6.235508419176e-02      -6.235750406305e-02      -8.037514668762e-02      -6.231210264014e-02      -6.235799147608e-02       4.741430140701e-01       4.740591724886e-01 
       1.053673596371e-04      -1.250743781702e-01      -9.882145487121e-02      -9.882177941258e-02      -9.882540105516e-02      -1.248795755033e-01      -9.871153732979e-02      -9.882576059807e-02       4.741162743994e-01       4.740346918177e-01 
